Age;AlphaForm;BetaWForm;BetaSForm;BetaJForm;GammaForm;CollpF;Duration;RefForm;formation.name;Environments
197.4085714;7.1443;9.033640209;0.838567401;0.890343658;54.958;35;6;7;Blue Lias;3
193.9590909;3.1152;6.641444052;0.6254149;0.733733952;13.914;66;6;2;Calcaire a gryphees;2
188.690625;16.0346;8.779943082;0.847622445;0.903177269;131.304;48;6.75;7;Hierlatz;3
187.5409091;7.4969;13.12592834;0.779463235;0.855730648;85.196;33;10.2;5;Isztim?;3
186.566;3.2887;11.68952833;0.790265852;0.861644161;26.704;25;6.85;2;Cold Fish Volcanics;1
186.5596154;5.1685;8.734137286;0.746344541;0.840311885;36.34;26;6.75;2;Puchenque;1
186.3;19.2608;6.411692598;0.753482081;0.848098914;116.542;27;0;3;Cape Stewart;1
186.3;19.2608;6.411692598;0.753482081;0.848098914;116.542;27;0;3;Cape Stewart;1
186.3;7.4505;7.915402727;0.831007517;0.892218868;50.812;25;0;2;Piedra Pintada;2
186.3;7.4505;7.915402727;0.831007517;0.892218868;50.812;25;0;2;Piedra Pintada;2
186.3;2.995;10.68050454;0.854139711;0.904360948;21.212;24;0;2;Almonacid de la Cuba;1
186.3;2.4196;9.060207314;0.631584458;0.726154926;12.616;44;0;1;Barre a Pecten;1
186.3;2.1245;12.84496689;0.772230718;0.830041441;14.218;33;0;1;Escales;2
186.3;2.9193;8.557243829;0.692618421;0.779127763;16.258;33;0;1;Foix;3
186.3;3.458;7.00103183;0.64797648;0.741884844;17.112;37;0;2;Rio Palomar;1
186.3;2.995;10.68050454;0.854139711;0.904360948;21.212;24;0;2;Almonacid de la Cuba;1
186.3;2.4196;9.060207314;0.631584458;0.726154926;12.616;44;0;1;Barre a Pecten;1
186.3;2.1245;12.84496689;0.772230718;0.830041441;14.218;33;0;1;Escales;2
186.3;2.9193;8.557243829;0.692618421;0.779127763;16.258;33;0;1;Foix;3
186.3;3.458;7.00103183;0.64797648;0.741884844;17.112;37;0;2;Rio Palomar;1
186.3;2.6443;11.20446925;0.78277028;0.846182648;18.04;63;0;1;Nevian;1
186.3;2.6443;11.20446925;0.78277028;0.846182648;18.04;63;0;1;Nevian;1
181.2558442;3.0051;10.11261815;0.841676803;0.889376994;19.902;77;4.65;1;Padrinas;2
180.827451;2.4449;11.81833247;NA;NA;16.784;51;3.7;1;Col d'Estivere;2
179.9532609;4.622;13.07547384;0.81368189;0.862648003;52.518;46;4.65;3;Turmiel;3
173.6;3.1539;6.651232218;0.482011363;0.625610992;14.19;125;0;2;Opalinuston;1
169.3532258;4.4014;10.9787133;0.835347907;0.896829746;36.72;93;3.45;3;Twin Creek;2
168.15;4.6717;11.06861042;0.838187741;0.900223624;40.178;123;0;1;Carmel;1
167.3693662;7.3686;15.39908092;0.940124675;0.963645065;95.826;142;3.45;5;Dhruma;4
167.0722222;4.1825;11.43410545;0.830368113;0.893658727;36.264;27;3.45;1;Sawtooth;1
162.95;13.8036;8.622621827;0.873400589;0.913001026;103.794;72;0;3;Dhruma;3
162.95;13.6215;8.652119973;0.878216833;0.926594537;108.71;25;0;1;Shuqra;1
162.95;6.964;14.26704029;0.896189307;0.934644903;83.944;48;0;4;Tuwaiq;4
162.648324;11.911;8.953385239;0.808110397;0.882480071;97.16;179;4.5;6;Chari;4
161.2262376;11.0649;10.15673303;0.867825992;0.923093593;101.322;101;5.2;5;Tataouine;4
158.45;6.9403;8.357533527;0.673778694;0.789402778;49.474;26;0;1;Argiles a Lopha gregarea;2
158.45;6.4857;14.03810669;0.914513742;0.947360375;75.934;36;0;2;Hanifa;3
158.2696429;6.2966;10.22109681;0.827137516;0.889533571;54.26;28;6.95;3;Antalo;2
151.4536842;9.5811;11.99008391;0.892980686;0.936829796;102.404;95;10.3;2;Alcobaca;5
151.2629032;6.4585;7.092220748;0.748632012;0.83386334;38.536;31;5.1;2;Sobral;2
